10,100,1000,10000,100000,1000000
0.000156294,0.000232775,0.00171412,0.0123529,0.117296,1.11027
0.000353005,0.000450817,0.00476365,0.0259556,0.226328,2.21237
0.000402269,0.00234574,0.0064064,0.0307927,0.302509,2.9871
0.000443083,0.00423604,0.00544543,0.0364945,0.389209,3.81742
0.000563603,0.00275764,0.00649017,0.0431661,0.511827,5.03862
0.000911175,0.00258737,0.0131802,0.0511319,0.553514,5.43347
0.00172967,0.00553592,0.00486305,0.0628869,0.644548,6.28577
0.0241495,0.00687666,0.0158994,0.223945,1.6869,16.9364
0.0243941,0.00918623,0.0187483,0.220306,1.72568,16.9377
0.0232556,0.00849622,0.0151719,0.369903,1.73155,17.0078
0.0284919,0.00965659,0.01477,0.329352,1.72631,17.1928
0.0524785,0.0091932,0.0190886,0.378093,1.76499,17.4005
0.0289809,0.0132484,0.0150494,0.385109,1.73986,17.1701
0.0390256,0.0134429,0.0181165,0.443614,1.98399,19.183
0.0490366,0.0118941,0.0176007,0.140525,1.98883,19.2432
0.0408645,0.0124481,0.017316,0.141041,2.00624,18.991
0.0417947,0.0144894,0.017202,0.141879,1.99208,19.3823
0.0440338,0.0149979,0.0175775,0.144022,2.00325,19.3254
0.0469778,0.0148025,0.0203063,0.149287,2.17417,21.4982
0.0488732,0.0158928,0.0180364,0.144422,2.15053,21.6665
0.0487922,0.019511,0.0193586,0.145046,2.17153,21.2049
0.0548665,0.0209077,0.0175876,0.149135,2.20861,21.5218
